contented,"['satisfied', 'pleased', 'glad', 'content', 'comfortable']"
concentrated,"['fixed', 'rich', 'complete', 'stuffed', 'total', 'entire', 'straight', 'strong', 'thick', 'whole', 'crashed']"
stuffed,"['loaded', 'filled', 'packed', 'full', 'bursting', 'crowded', 'satisfied', 'tight']"
loaded,"['burdened', 'full']"
burdened,"['loaded', 'taxed']"
taxed,['assessed']
strained,"['stiff', 'tight', 'labored', 'embarrassed', 'put', 'artificial', 'difficult', 'uncomfortable', 'false']"
labored,"['strained', 'forced', 'studied', 'affected', 'hard', 'heavy', 'stiff']"
studied,"['considered', 'calculated', 'prepared', 'planned', 'investigated', 'affected', 'examined', 'reviewed', 'willing', 'advised', 'conscious', 'voluntary', 'designed', 'plotted']"
considered,"['studied', 'investigated', 'express', 'examined', 'advised', 'voluntary', 'treated', 'contemplated', 'weighed', 'designed']"
investigated,"['tried', 'studied', 'tested', 'reviewed', 'considered', 'measured', 'checked', 'explored', 'questioned', 'searched', 'researched']"
tried,"['tested', 'proved', 'approved', 'used', 'secure', 'constant', 'demonstrated']"
used,['worn']
secure,"['protected', 'guarded', 'sheltered', 'defended', 'immune']"
sheltered,"['protected', 'covered', 'screened', 'protective']"
screened,"['closet', 'retired', 'abandoned', 'reserved', 'isolate', 'quiet', 'deserted', 'shy', 'close', 'hidden', 'removed', 'withdrawn', 'alone', 'lonely', 'personal', 'private', 'remote', 'secret']"
abandoned,"['forgotten', 'rejected', 'deserted', 'dropped', 'empty', 'left', 'alone', 'dumped', 'eliminated']"
forgotten,"['gone', 'abandoned', 'lost', 'buried', 'past']"
lost,"['invisible', 'vanished', 'hidden', 'gone', 'missed', 'lacking', 'wandering', 'without', 'disappeared']"
invisible,"['ideal', 'masked', 'screened']"
masked,[]
obvious,"['accessible', 'evident', 'clear', 'visible', 'distinct', 'bright', 'explicit', 'exposed', 'open', 'patent', 'plain', 'precise', 'prominent', 'public']"
evident,"['visible', 'obvious', 'distinct', 'fact', 'logical', 'patent', 'plain', 'reasonable']"
visible,"['evident', 'striking', 'clear', 'obvious', 'arresting', 'bold', 'marked', 'open', 'outstanding', 'patent', 'plain', 'pointed', 'signal', 'visual', 'revealed', 'seen']"
signal,"['striking', 'characteristic', 'marked', 'arresting', 'individual', 'distinguished', 'distinctive', 'famous', 'prominent', 'remarkable', 'significant']"
characteristic,"['distinctive', 'unique', 'exclusive', 'individual', 'normal', 'personal', 'private', 'essential', 'specific', 'regular', 'representative', 'particular', 'local', 'original', 'special', 'native', 'appropriate', 'distinguishing', 'fixed', 'inherent', 'marked', 'proper', 'symbolic']"
distinctive,"['extraordinary', 'special', 'weird', 'original', 'cool', 'characteristic', 'distinguishing', 'excellent', 'individual', 'outstanding', 'perfect', 'proper', 'separate', 'single', 'superior', 'typical']"
weird,"['mysterious', 'strange', 'awful', 'curious', 'secret']"
known,"['established', 'familiar', 'acknowledged', 'recognized', 'well-known', 'obvious', 'common', 'accepted', 'noted', 'received', 'patent', 'plain', 'celebrated', 'published', 'conscious', 'admitted', 'confessed']"
acknowledged,"['confirmed', 'accepted', 'approved', 'recognized', 'authorized', 'sanctioned']"
authorized,"['sanctioned', 'recognized', 'licensed', 'legitimate', 'legal', 'official', 'commissioned']"
legitimate,"['real', 'genuine', 'fair', 'normal', 'certain', 'consistent', 'natural', 'logical', 'appropriate', 'reasonable', 'proper', 'correct', 'reliable', 'sound', 'recognized', 'sanctioned', 'received', 'acknowledged', 'authorized', 'accepted', 'innocent', 'just', 'official', 'regular', 'sure', 'typical', 'usual', 'true']"
sound,"['solid', 'safe', 'stable', 'intact', 'firm', 'entire', 'right', 'fit', 'well', 'perfect', 'total', 'whole', 'substantial', 'vital']"
stable,"['secure', 'solid', 'safe', 'steady', 'fast', 'permanent', 'calm', 'balanced', 'strong', 'substantial', 'reliable', 'even', 'established', 'set', 'tough', 'uniform', 'firm', 'enduring', 'sound', 'sure', 'together', 'nailed']"
permanent,"['enduring', 'stable', 'set', 'fixed', 'forever']"
enduring,"['surviving', 'permanent']"
surviving,['remaining']
temporary,"['limited', 'brief', 'short', 'supply', 'summary', 'acting', 'passing', 'shifting']"
summary,"['short', 'brief']"
acting,"['temporary', 'deputy', 'assistant']"
passing,"['short', 'temporary', 'slight', 'shallow', 'quick', 'glancing']"
shallow,"['flat', 'empty', 'shelf', 'slight', 'surface']"
flat,"['low', 'empty', 'even', 'plane', 'depressed', 'extended', 'fallen', 'collapsed']"
plane,"['even', 'flat', 'plain', 'smooth', 'uniform', 'regular']"
uniform,"['reliable', 'even', 'ordered', 'level', 'smooth', 'straight', 'steady', 'regular', 'normal', 'stable', 'constant', 'fixed', 'true']"
ordered,"['controlled', 'organized', 'neat', 'precise', 'arranged']"
organized,"['classified', 'coordinated', 'formed', 'grouped']"
neat,"['precise', 'accurate', 'elegant', 'smart', 'correct', 'exact', 'nice', 'proper', 'regular', 'trim']"
trim,"['fit', 'clean', 'smart', 'nice']"
clean,"['simple', 'clear', 'bright', 'elegant', 'neat', 'pure', 'blank', 'fresh', 'trim', 'white', 'shining', 'delicate', 'washed']"
blank,"['bare', 'plain', 'clean', 'white', 'pale', 'empty', 'fresh', 'new']"
white,"['silver', 'fair', 'neutral', 'light', 'clear']"
silver,"['white', 'bright', 'pale', 'plated']"
pale,"['gray', 'poor', 'faint', 'thin', 'sick', 'faded', 'white', 'weak']"
sick,"['disordered', 'down', 'suffering', 'peaked', 'ill', 'mean', 'delicate', 'weak', 'declining']"
disordered,"['moved', 'confused', 'removed', 'shifted', 'tossed']"
moved,"['carried', 'changed', 'transferred', 'driven', 'replaced', 'sent', 'lifted', 'shifted', 'trucked', 'flown', 'pushed', 'conveyed', 'hauled', 'lowered', 'dragged']"
transferred,"['transported', 'shipped', 'removed', 'sent', 'shifted', 'conveyed', 'transmitted']"
shipped,"['carried', 'delivered', 'transported', 'sent', 'trucked', 'expressed', 'exported']"
trucked,"['traffic', 'exchange', 'communication', 'trade', 'connection', 'contact', 'business', 'stock', 'relations', 'commodities']"
stock,"['established', 'set', 'basic', 'standard', 'stereotyped', 'regular', 'common', 'normal', 'routine', 'ordinary', 'formal', 'conventional', 'traditional', 'typical', 'usual']"
stereotyped,"['stock', 'ordinary']"
active,"['operating', 'alive', 'effective', 'rapid', 'progressive', 'working', 'mobile', 'pushing', 'running', 'going', 'traveling', 'flowing', 'rolling', 'functioning', 'rushing', 'moving', 'walking', 'turning', 'streaming', 'shifting', 'speeding']"
progressive,"['revolutionary', 'continuous', 'radical', 'modern', 'dynamic', 'broad', 'advanced', 'continuing', 'graduated', 'increasing', 'ongoing', 'wide', 'developing', 'accelerating', 'advancing']"
revolutionary,"['radical', 'rebel', 'warring', 'rioting']"
rebel,['revolutionary']
warring,"['fighting', 'battling']"
fighting,"['hostile', 'boxing', 'determined', 'angry', 'battling', 'fencing', 'contending']"
hostile,"['opposed', 'nasty', 'bitter', 'alien', 'opposite', 'competitive']"
opposed,"['hostile', 'opposing', 'conflicting', 'crossing', 'counter', 'rival', 'disagreeing', 'facing', 'warring', 'confronting', 'against', 'defensive', 'enemy', 'opposite', 'disputed', 'objecting', 'battling', 'protesting', 'combating', 'defending', 'disputing', 'denying', 'exposing']"
counter,"['conflicting', 'reverse', 'contrasting', 'opposed', 'against']"
agreeing,[]
same,"['like', 'double', 'equal', 'twin', 'carbon', 'equivalent', 'comparable', 'likewise', 'related', 'similar', 'similarly', 'very']"
very,"['actual', 'appropriate', 'bare', 'correct', 'express', 'genuine', 'ideal', 'identical', 'mere', 'model', 'perfect', 'plain', 'precise', 'pure', 'right', 'same', 'sheer', 'simple', 'special', 'true']"
express,"['explicit', 'specific', 'set', 'individual', 'intended', 'considered', 'plain', 'pointed', 'direct', 'willing', 'particular', 'voiced', 'exact', 'clear', 'special', 'voluntary', 'accurate', 'distinct', 'expressed']"
explicit,"['precise', 'accurate', 'clear', 'positive', 'certain', 'obvious', 'exact', 'correct', 'absolute', 'direct', 'distinct', 'express', 'open', 'patent', 'plain', 'stated', 'sure']"
absolute,"['sheer', 'full', 'complete', 'simple', 'pure', 'entire', 'total', 'free']"
partial,"['limited', 'part', 'halfway']"
halfway,"['medium', 'central', 'center', 'fair', 'average', 'standard', 'neutral', 'common', 'moderate', 'mean', 'between', 'compromising']"
medium,"['fair', 'normal', 'standard', 'middle', 'neutral', 'common', 'ordinary', 'moderate', 'mean', 'popular']"
middle,"['medium', 'center', 'average', 'mean', 'inside', 'mainstream', 'between', 'halfway', 'inner']"
center,"['inside', 'interior', 'mean', 'deepest', 'inner', 'internal']"
inside,"['central', 'inner', 'internal', 'surrounded']"
inner,"['close', 'constitutional', 'essential', 'familiar', 'inherent', 'inside', 'interior', 'internal', 'intimate']"
inherent,"['constitutional', 'internal', 'essential', 'natural', 'genetic', 'fundamental', 'characteristic', 'distinctive', 'elementary', 'fixed', 'indigenous', 'individual', 'inherited', 'inner', 'integrated', 'intimate', 'native', 'original', 'resident']"
internal,"['domestic', 'constitutional', 'private', 'national', 'civic', 'gut', 'home', 'indigenous', 'inherent', 'inner', 'inside', 'interior', 'intimate', 'municipal', 'native']"
domestic,"['private', 'pet', 'home', 'calm', 'family', 'devoted', 'settled', 'trained']"
home,"['central', 'family', 'familiar', 'household', 'local', 'national', 'native', 'internal']"
household,"['ordinary', 'everyday', 'home', 'family', 'plain']"
everyday,"['normal', 'ordinary', 'frequent', 'usual', 'average', 'conventional', 'daily', 'familiar', 'informal', 'mainstream', 'plain', 'routine', 'stock']"
frequent,"['constant', 'numerous', 'usual', 'expected', 'general', 'everyday', 'familiar', 'many', 'thick', 'various']"
numerous,"['great', 'big', 'large', 'diverse', 'various', 'several', 'thick']"
several,"['any', 'certain', 'considerable', 'different', 'distinct', 'diverse', 'handful', 'individual', 'many', 'numerous', 'particular', 'personal', 'rare', 'separate', 'single', 'some', 'special', 'specific']"
considerable,"['huge', 'great', 'major', 'substantial', 'reasonable', 'big', 'extensive', 'comfortable', 'marked', 'much', 'pretty']"
substantial,"['generous', 'extraordinary', 'solid', 'steady', 'valuable', 'large', 'massive', 'significant', 'big', 'serious', 'strong', 'meaningful', 'considerable', 'vast', 'material', 'firm', 'heavy', 'key', 'principal', 'sound', 'stable']"
massive,"['heavy', 'huge', 'enormous', 'imposing', 'big', 'grand', 'great', 'substantial', 'impressive', 'towering', 'extensive', 'vast', 'tremendous', 'gross', 'monster', 'solid', 'cracking']"
towering,"['imposing', 'soaring', 'massive', 'tall', 'extraordinary', 'extreme', 'fantastic', 'great', 'high', 'impressive', 'intense', 'outstanding', 'superior', 'tremendous', 'ultimate']"
soaring,"['towering', 'steep', 'flying', 'climbing']"
flying,"['floating', 'soaring', 'express', 'mobile', 'fleet', 'drifting', 'waving', 'streaming']"
floating,"['soaring', 'light', 'loose', 'free', 'swimming', 'sailing']"
light,"['sunny', 'bright', 'rich', 'clear', 'shining', 'brilliant', 'flashing']"
shining,[]
distinguished,"['honored', 'remarkable', 'brilliant', 'great', 'well-known', 'noted', 'prominent', 'name', 'striking', 'imposing', 'signal', 'celebrated', 'marked', 'arresting', 'shining', 'extraordinary', 'royal', 'special', 'superior']"
well-known,"['outstanding', 'leading', 'important', 'recognized', 'popular', 'known', 'noted', 'prominent', 'big', 'celebrated', 'common', 'large', 'name', 'public', 'somebody', 'star']"
popular,"['favored', 'famous', 'attractive', 'beloved', 'suitable', 'prominent', 'accepted', 'approved', 'celebrated', 'leading', 'liked', 'noted', 'pleasing', 'praised', 'preferred', 'prevailing', 'selling', 'social', 'sought', 'in', 'promoted']"
suitable,"['relevant', 'useful', 'reasonable', 'sufficient', 'fitting', 'good', 'suited', 'proper', 'correct', 'becoming', 'deserved', 'due', 'fit', 'happy', 'just', 'meet', 'merited', 'nice', 'right', 'swell']"
merited,"['fitting', 'fit', 'deserved', 'due', 'proper', 'justified']"
stupid,"['simple', 'dumb', 'thick', 'dense', 'slow']"
dumb,"['quiet', 'silent']"
silent,"['close', 'dumb', 'faint', 'reserved', 'shy', 'still', 'checked']"
shy,"['nervous', 'modest', 'suspicious', 'afraid', 'reluctant', 'reserved', 'retiring', 'shrinking', 'conscious']"
suspicious,"['careful', 'questioning', 'suspect', 'wondering', 'suspecting']"
suspect,"['suspected', 'open', 'incredible', 'ridiculous', 'suspicious', 'uncertain', 'unlikely']"
suspected,"['imagined', 'suspicious', 'uncertain']"
imagined,[]
unlikely,"['rare', 'incredible', 'strange', 'remote', 'faint', 'slight']"
trusted,"['established', 'honored', 'devoted', 'reliable', 'loyal', 'close', 'proved', 'tried', 'intimate', 'sure', 'true']"
loyal,"['devoted', 'believing', 'constant', 'firm', 'steady', 'true', 'attached']"
believing,"['positive', 'convinced', 'assuming', 'certain', 'sure', 'accepting']"
assuming,"['forward', 'bold']"
forward,"['leading', 'ahead', 'forth', 'progressive', 'progressing']"
back,"['behind', 'tail', 'following', 'final', 'rear', 'after']"
final,"['concluding', 'closing', 'ultimate', 'end', 'latter', 'latest', 'finishing']"
concluding,"['closing', 'final']"
closing,"['concluding', 'final', 'finishing']"
ultimate,"['end', 'latter', 'closing', 'extreme', 'latest', 'farthest', 'furthest', 'concluding', 'capping', 'most distant']"
furthest,"['farthest', 'extreme', 'ultimate', 'remotest']"
remotest,"['unknown', 'isolated', 'private', 'lonely', 'distant', 'frontier', 'far', 'back', 'alien', 'secret', 'wild', 'beyond', 'foreign', 'removed', 'retired']"
wild,"['natural', 'free', 'waste', 'desert', 'native', 'dense', 'deserted', 'escaped', 'fierce', 'indigenous']"
desert,"['lonely', 'wild', 'waste', 'bare']"
native,"['natural', 'indigenous', 'real', 'constitutional', 'essential', 'fundamental', 'wild', 'original', 'genuine', 'inherited']"
indigenous,"['domestic', 'inherent', 'inherited', 'natural', 'original']"
inherited,"['rooted', 'genetic']"
rooted,"['fixed', 'firm', 'established', 'deep', 'grounded']"
genetic,['historical']
historical,"['real', 'ancient', 'actual', 'classical', 'important', 'old', 'past', 'documented']"
acquired,"['collected', 'realized', 'accomplished', 'learned', 'gathered', 'seized', 'captured', 'gained', 'obtained', 'earned', 'secured', 'won', 'reached']"
realized,"['accomplished', 'executed', 'finished', 'completed', 'done', 'performed', 'concluded', 'achieved']"
received,"['collected', 'accepted', 'acknowledged', 'honored', 'acquired', 'gathered', 'derived', 'standard', 'conventional', 'earned', 'obtained', 'gotten', 'admitted']"
gathered,"['concentrated', 'collected', 'stored', 'united', 'stacked', 'combined', 'joined', 'associated', 'picked', 'harvested', 'grouped', 'met', 'rallied', 'piled']"
stacked,"['invisible', 'vague']"
vague,"['uncertain', 'faint', 'dark', 'loose', 'puzzling', 'unknown']"
apparent,"['supposed', 'possible', 'likely']"
supposed,"['assumed', 'alleged', 'theoretical']"
alleged,"['so-called', 'supposed', 'stated', 'declared', 'pretended', 'suspect', 'suspicious', 'described']"
so-called,"['alleged', 'formal', 'allegedly', 'pretended']"
pretended,"['cheating', 'assumed', 'covered', 'masked', 'affected', 'pretend', 'supposed', 'lying', 'artificial', 'so-called', 'false']"
artificial,"['plastic', 'false']"
plastic,['bending']
bending,"['curving', 'winding', 'twisting', 'bowing']"
curving,"['winding', 'curved', 'bending', 'twisted', 'twisting']"
winding,"['curving', 'involved', 'twisting']"
direct,"['explicit', 'plain', 'straight', 'express', 'open', 'absolute']"
changing,"['uncertain', 'dynamic', 'growing', 'mobile', 'developing', 'altering', 'modifying']"
mobile,"['liquid', 'fluid', 'free', 'wandering', 'loose', 'moving']"
liquid,"['smooth', 'running', 'melted', 'wet', 'molten', 'moving', 'soft', 'thin', 'dissolved']"
wet,"['soaked', 'pouring', 'soaking', 'raining']"
soaked,"['drowned', 'wet', 'soaking']"
drowned,['sunk']
pouring,"['draining', 'running', 'flowing', 'flooding', 'rushing', 'raining', 'showering', 'spilling']"
draining,"['exhausting', 'taxing', 'wearing', 'fatiguing']"
exhausting,"['draining', 'taxing', 'wearing', 'fatiguing']"
wearing,"['exhausting', 'draining']"
fatiguing,"['wearing', 'taxing', 'exhausting', 'draining']"
flowing,"['running', 'rolling', 'falling', 'full', 'liquid', 'smooth', 'fluid', 'rushing', 'rich', 'sweeping', 'continuous', 'easy', 'streaming', 'flooded', 'issuing']"
rolling,[]
fluid,"['flowing', 'running', 'melted', 'molten']"
molten,[]
flexible,"['soft', 'bending', 'plastic', 'stretch', 'yielding']"
variable,"['mobile', 'fluid', 'flexible', 'uncertain', 'shifting']"
rushing,[]
racing,"['hurrying', 'flying', 'running', 'fast', 'rushing', 'sailing', 'tearing']"
hurrying,"['flying', 'running', 'racing', 'rushing', 'speeding']"
crawling,['dragging']
continuous,"['extended', 'steady', 'repeated', 'regular', 'stable', 'endless', 'connected', 'consecutive', 'looped', 'continued']"
repeated,['copied']
copied,[]
quoted,"['cited', 'copied', 'instanced', 'echoed']"
instanced,"['detail', 'item', 'reason', 'particular', 'occasion', 'example', 'proof', 'sample', 'representative', 'time', 'ground', 'sampling']"
given,[]
stated,"['certain', 'declared', 'fixed', 'settled', 'regular', 'told']"
declared,"['announced', 'stated']"
announced,"['released', 'declared', 'issued', 'reported', 'broadcast', 'disclosed', 'revealed', 'communicated', 'told']"
reported,"['recorded', 'noted', 'announced', 'rumored', 'said', 'broadcast', 'described', 'expressed', 'disclosed', 'proclaimed', 'believed', 'revealed', 'communicated']"
recorded,"['listed', 'registered', 'reported', 'published', 'entered', 'noted', 'taped', 'documented', 'filed']"
listed,"['recorded', 'indexed']"
registered,['enrolled']
enrolled,"['recorded', 'joined', 'installed', 'listed', 'entered', 'recruited', 'commissioned']"
installed,"['equipped', 'established', 'connected', 'initiated']"
equipped,"['supplied', 'armed', 'completed', 'appointed', 'fitted', 'dressed', 'provided', 'decked', 'arrayed', 'assembled', 'implemented', 'readied']"
supplied,"['outfitted', 'equipped', 'given']"
outfitted,"['supplied', 'equipped']"
armed,"['loaded', 'outfitted', 'supplied', 'equipped', 'packing', 'steeled']"
appointed,"['selected', 'chosen']"
selected,"['elected', 'preferred', 'chosen', 'named']"
elected,['named']
named,"['specified', 'titled', 'tagged', 'termed', 'labeled', 'called', 'entitled']"
specified,"['stated', 'detailed', 'named', 'described']"
called,"['labeled', 'termed']"
chosen,"['exclusive', 'named', 'elect', 'selected', 'pick', 'select', 'popular', 'picked', 'called']"
select,"['exclusive', 'selected', 'preferred', 'prime', 'limited', 'elect', 'chosen', 'top', 'screened', 'favored', 'pick', 'best', 'choice', 'delicate', 'elegant', 'rare', 'special', 'superior', 'winner', 'tops', 'picked']"
preferred,"['favored', 'approved', 'liked', 'sanctioned', 'selected', 'named', 'elected', 'taken', 'endorsed', 'popular', 'adopted', 'picked']"
liked,"['loved', 'honored', 'respected', 'beloved', 'prized', 'admired']"
respected,"['important', 'honored', 'beloved', 'admired', 'appreciated']"
taken,"['arrested', 'appropriated', 'seized']"
arrested,"['jailed', 'seized']"
jailed,[]
seized,['captured']
held,"['guarded', 'controlled', 'defended', 'taken', 'retained', 'occupied', 'gripped', 'believed']"
defended,"['guarded', 'safe']"
retained,"['received', 'saved', 'reserved', 'remembered', 'possessed', 'owned', 'held', 'included', 'sustained', 'maintained', 'had', 'contained', 'treasured', 'secured']"
remembered,"['retained', 'recalled']"
recalled,[]
canned,['kept']
taped,"['rope', 'line', 'band', 'edging', 'strip']"
video,"['broadcast', 'television', 'program', 'canned', 'recorded', 'taped']"
fired,"['burned', 'burning', 'heated', 'baked']"
baked,"['melted', 'dried', 'heated', 'warmed']"
dried,"['dry', 'preserved']"
warmed,"['sunny', 'mild', 'pleasant', 'hot', 'heated', 'sweating', 'melting', 'close']"
sweating,"['soaked', 'wet']"
melting,['reducing']
cooled,"['biting', 'chilling', 'chill', 'chilled']"
upset,"['disordered', 'confused', 'shocked', 'low', 'sick', 'troubled', 'hurt', 'thrown', 'spilled', 'ill', 'worried', 'dragged']"
shocked,['upset']
comforting,"['encouraging', 'freeing', 'softening', 'curing', 'sustaining', 'relieving', 'restoring', 'warming']"
softening,[]
curing,['healing']
healing,['curing']
worrying,"['nervous', 'concerned', 'burdened', 'bothered', 'anxious']"
bothered,"['troubled', 'disturbed', 'upset', 'anxious', 'bugged']"
spilled,"['gone', 'lost']"
existing,"['current', 'actual', 'alive', 'real']"
worried,"['concerned', 'distracted', 'upset', 'bothered', 'disturbed', 'afraid', 'nervous']"
moral,"['proper', 'good', 'straight', 'right', 'square', 'innocent', 'meet', 'correct', 'decent', 'just', 'modest', 'pure']"
square,"['even', 'fair', 'straight', 'equal', 'objective', 'sporting', 'decent', 'ethical', 'just']"
sporting,"['game', 'square', 'fair', 'gay', 'generous', 'reasonable', 'wild']"
game,"['dogged', 'bold', 'prepared', 'eager', 'interested', 'ready']"
working,"['busy', 'engaged', 'alive', 'running', 'employed', 'functioning', 'dynamic', 'live', 'going', 'moving', 'effective', 'practical', 'useful', 'laboring']"
busy,"['active', 'working', 'occupied', 'engaged', 'buried', 'employed', 'slaving']"
occupied,"['employed', 'engaged', 'working', 'active']"
employed,"['occupied', 'hired', 'engaged', 'busy', 'selected', 'operating', 'signed', 'active', 'laboring']"
hired,"['employed', 'busy', 'working']"
signed,"['written', 'witnessed', 'endorsed', 'registered', 'sealed']"
written,"['recorded', 'reported', 'penned', 'drafted', 'dictated']"
spoken,"['said', 'voiced', 'articulate', 'mentioned', 'announced', 'oral', 'traditional', 'verbal', 'expressed', 'communicated', 'told']"
said,['spoken']
voiced,"['spoken', 'articulate', 'oral']"
articulate,"['clear', 'distinct', 'meaningful']"
oral,"['vocal', 'articulate', 'related', 'said', 'verbal', 'voiced', 'sounded', 'told']"
vocal,"['articulate', 'verbal', 'singing', 'oral', 'said', 'voiced', 'sung', 'articulated', 'expressed']"
verbal,"['exact', 'oral', 'said', 'stated', 'expressed', 'told']"
round,"['rounded', 'curved', 'bowed', 'looped', 'bent', 'ringed']"
looped,"['lit', 'in', 'totaled']"
in,"['modern', 'contemporary', 'current', 'now', 'favored', 'new', 'popular', 'prevailing', 'usual']"
prevailing,"['universal', 'current', 'usual', 'established', 'set', 'steady', 'sweeping', 'ruling', 'common', 'comprehensive', 'familiar', 'influential', 'main', 'ordinary', 'popular', 'principal', 'regular', 'widespread', 'worldwide']"
ruling,"['upper', 'central', 'leading', 'controlling', 'commanding']"
upper,"['high', 'top', 'higher']"
higher,"['above', 'over', 'greater', 'bigger', 'more advanced']"
over,"['past', 'by', 'closed', 'completed', 'done', 'ended', 'finished', 'gone', 'settled', 'up', 'concluded']"
less,"['limited', 'lower', 'negative', 'lesser', 'minor', 'secondary', 'beneath', 'depressed', 'lacking', 'reduced', 'shorter', 'without', 'fewer', 'declined', 'diminished', 'excepting', 'slighter']"
negative,"['weak', 'resisting', 'opposing', 'removed', 'against', 'refusing', 'denying', 'rejecting']"
resisting,['opposing']
lesser,"['minor', 'bottom', 'bush', 'low', 'lower', 'small', 'slighter']"
minor,"['slight', 'lesser', 'secondary', 'dependent', 'light', 'low', 'junior', 'casual', 'smaller', 'younger']"
dependent,"['poor', 'vulnerable', 'minor', 'secondary', 'clinging', 'lesser', 'under']"
vulnerable,"['accessible', 'exposed', 'weak', 'sensitive', 'ready', 'naked', 'tender']"
clinging,[]
relative,"['related', 'dependent', 'about', 'concerning', 'connected', 'near', 'referring', 'associated']"
near,"['neighboring', 'immediate', 'nearby', 'burning', 'touching', 'ready', 'close', 'bordering', 'alongside', 'around', 'available', 'beside', 'practically']"
touching,"['sad', 'stirring', 'tender', 'melting', 'impressive']"
stirring,"['inspiring', 'gripping', 'touching', 'emotional', 'dynamic', 'provoking', 'stimulating', 'motivating']"
emotional,"['exciting', 'sensitive', 'touching', 'moving', 'nervous', 'heated', 'affecting', 'disturbed', 'feeling', 'stirring', 'tender', 'warm', 'stirred']"
exciting,"['impressive', 'interesting', 'appealing', 'dramatic', 'dangerous', 'moving', 'stimulating', 'overwhelming', 'arresting', 'fine', 'stirring', 'neat', 'wild']"
dramatic,"['impressive', 'striking', 'powerful', 'sudden', 'tragic', 'emotional', 'affecting', 'effective']"
sudden,"['unusual', 'rapid', 'immediate', 'quick', 'accelerated', 'fast', 'flash', 'fleet', 'hurried', 'rushing', 'speeded']"
quick,"['rapid', 'brief', 'immediate', 'sudden', 'hurried', 'active', 'express', 'prompt', 'flying', 'going', 'fleet', 'accelerated']"
hurried,"['sudden', 'short', 'rushing', 'fast', 'brief']"
delayed,"['late', 'slowed']"
going,"['rapid', 'progressive', 'mobile', 'pushing', 'running', 'moving', 'flowing', 'rolling', 'operating', 'functioning', 'rushing', 'alive', 'effective']"
pushing,"['forward', 'ambitious']"
fleet,"['rapid', 'flying', 'fast', 'screaming']"
accelerated,"['increased', 'quick']"
increased,['expanded']
speeded,"['pace', 'momentum', 'clip', 'expedition', 'snap', 'hurry', 'rush', 'breeze', 'activity', 'steam']"
advance,"['forward', 'leading', 'prior', 'first', 'earlier', 'early', 'previously']"
earlier,"['prior', 'previous']"
further,"['farther', 'more', 'added', 'another', 'else', 'extra', 'fresh', 'new', 'other']"
more,"['extra', 'also', 'other', 'further', 'new', 'higher', 'major', 'spare', 'and', 'another', 'besides', 'else', 'extended', 'farther', 'fresh', 'increased', 'likewise', 'numerous', 'added', 'larger', 'deeper', 'enhanced', 'exceeding', 'expanded', 'heavier', 'wider']"
other,"['new', 'alternative', 'more', 'another', 'else', 'extra', 'farther', 'fresh', 'further', 'spare']"
alternative,"['different', 'second', 'another']"
else,"['additional', 'extra', 'more', 'other']"
additional,"['added', 'increased', 'other', 'further', 'new', 'more', 'option', 'padding', 'spare']"
spare,"['option', 'emergency', 'over', 'free', 'additional', 'odd']"
sparing,"['close', 'saving', 'mean', 'tight']"
saving,"['retaining', 'preserving', 'rescuing']"
retaining,"['remembering', 'saving', 'engaging', 'securing', 'arresting', 'holding', 'keeping', 'working', 'taking', 'accommodating', 'employing', 'possessing', 'preserving', 'seizing', 'hiring', 'sustaining', 'owning', 'treasuring', 'embracing', 'reserving', 'having']"
remembering,[]
taking,['catching']
catching,"['taking', 'epidemic', 'dangerous']"
epidemic,"['sweeping', 'catching', 'general', 'prevailing']"
general,"['natural', 'normal', 'familiar', 'universal', 'routine', 'regular', 'broad', 'ordinary', 'public', 'prevailing', 'conventional', 'everyday', 'extensive', 'popular', 'typical', 'usual', 'wide', 'widespread']"
public,"['urban', 'mutual', 'civic', 'civil', 'national', 'social', 'popular', 'universal', 'city', 'metropolitan', 'government', 'country', 'free', 'state', 'common', 'open', 'accessible', 'municipal', 'widespread']"
national,"['civil', 'ethnic', 'domestic', 'internal', 'social', 'public', 'royal', 'general', 'state', 'sweeping', 'home', 'native', 'political', 'widespread']"
ethnic,"['traditional', 'national', 'indigenous', 'native']"
social,"['civil', 'group', 'familiar', 'collective', 'community', 'general', 'common', 'nice', 'entertaining', 'organized', 'pleasant', 'popular']"
royal,"['superior', 'high', 'ruling', 'commanding', 'imposing', 'impressive']"
political,"['civic', 'constitutional', 'official']"
official,"['precise', 'fitting', 'valid', 'proper', 'formal', 'real', 'positive', 'approved', 'cleared', 'correct', 'decided', 'endorsed', 'established', 'legitimate', 'licensed', 'ordered', 'recognized', 'sanctioned', 'suitable', 'true']"
cleared,"['empty', 'cleaned']"
endorsed,"['sanctioned', 'supported', 'recommended', 'backed', 'settled', 'approved', 'blessed', 'sealed', 'concluded', 'sponsored', 'advocated']"
supported,"['backed', 'sustained', 'financed', 'promoted']"
backed,"['favored', 'endorsed', 'approved', 'helped', 'encouraged', 'assisted', 'aided', 'fostered', 'advocated', 'seconded', 'championed', 'boosted', 'financed', 'sponsored', 'promoted']"
helped,"['relieved', 'supported', 'backed', 'sustained', 'advised', 'encouraged', 'assisted', 'maintained', 'accompanied', 'nursed']"
relieved,"['relaxed', 'satisfied', 'comfortable', 'for', 'comforted', 'cared']"
freed,"['released', 'free']"
dismissed,['removed']
