contented,"['satisfied', 'pleased', 'glad', 'content', 'comfortable']","['upset', 'sad', 'unhappy', 'disturbed']"
devastating,['overwhelming'],['blessed']
pregnant,"['expecting', 'heavy', 'productive', 'anticipating']",[]
material,"['actual', 'substantial', 'physical', 'real', 'concrete', 'animal', 'objective', 'true']","['spiritual', 'mental', 'false']"
physical,"['real', 'substantial', 'natural', 'concrete', 'gross', 'objective', 'solid', 'visible']","['spiritual', 'psychological', 'mental']"
concrete,"['detailed', 'real', 'solid', 'material', 'specific', 'particular', 'objective', 'accurate', 'explicit', 'precise', 'substantial']","['abstract', 'bending', 'general', 'ideal', 'flexible']"
psychological,"['emotional', 'mental', 'intellectual', 'experimental']","['physical', 'body']"
experimental,"['preliminary', 'beginning', 'laboratory', 'pilot', 'primary', 'temporary', 'test', 'trial']","['tested', 'tried', 'proven']"
preliminary,"['prior', 'opening', 'primary', 'trial', 'fundamental', 'basic', 'test', 'pilot', 'first', 'elementary', 'preparing', 'qualifying', 'readying']","['additional', 'extra', 'closing', 'concluding', 'secondary', 'final']"
trial,"['preliminary', 'test', 'balloon', 'testing', 'pilot']","['known', 'proven']"
elementary,"['underlying', 'fundamental', 'beginning', 'clear', 'easy', 'essential', 'initial', 'original', 'plain', 'preliminary', 'primary', 'simplest']","['additional', 'advanced', 'extra', 'complicated', 'secondary', 'complex', 'compound', 'difficult', 'hard', 'involved']"
simplest,"['plain', 'smooth', 'quiet', 'clean', 'elementary', 'light', 'mild']","['complicated', 'vague', 'exacting', 'older', 'aware', 'intelligent', 'difficult', 'hard', 'involved', 'complex', 'decorated', 'sophisticated', 'smart']"
older,"['earlier', 'elder', 'first', 'former', 'lower', 'prior', 'senior', 'eldest']",['younger']
elder,"['older', 'senior', 'ancient', 'earlier']","['younger', 'youngest']"
senior,"['leading', 'elder', 'superior', 'major', 'chief', 'higher', 'more advanced']","['minor', 'junior', 'behind']"
younger,"['new', 'raw', 'adolescent', 'modern', 'infant', 'growing', 'tender', 'little', 'junior', 'recent', 'early', 'fresh', 'developing']","['experienced', 'healthy', 'adult', 'older', 'old', 'sophisticated']"
adult,"['developed', 'grown']","['adolescent', 'infant']"
youngest,"['new', 'raw', 'adolescent', 'modern', 'infant', 'growing', 'tender', 'little', 'junior', 'recent', 'early', 'fresh', 'developing']","['experienced', 'healthy', 'adult', 'older', 'old', 'sophisticated']"
eldest,"['gray', 'ancient', 'tired', 'elderly', 'aged', 'senior', 'veteran', 'exhausted', 'experienced', 'seasoned', 'skilled']","['young', 'current', 'modern', 'new', 'green', 'fresh', 'contemporary', 'late', 'recent']"
veteran,"['skilled', 'trained', 'wise', 'expert', 'steady', 'old', 'practical', 'practiced', 'sophisticated', 'exercised', 'weathered']",['green']
green,"['raw', 'tender', 'fresh', 'infant', 'growing', 'recent', 'developing']","['healthy', 'experienced', 'dying', 'adult', 'shrinking', 'expert', 'skilled', 'old']"
dying,"['fading', 'sinking', 'vanishing', 'going', 'passing', 'final', 'declining']","['permanent', 'growing', 'living', 'creating', 'developing']"
innocent,"['pure', 'legitimate', 'honest', 'good', 'clear', 'safe', 'clean', 'legal']","['guilty', 'evil', 'experienced', 'bad', 'cunning']"
guilty,"['responsible', 'wrong', 'sorry', 'caught', 'condemned', 'criminal', 'damned', 'evil', 'convicted', 'judged', 'sentenced']","['immune', 'moral', 'right', 'good', 'innocent']"
responsible,"['guilty', 'important', 'subject', 'bonded', 'bound', 'engaged', 'executive', 'exposed', 'held', 'high', 'open', 'tied', 'compelled', 'contracted']","['excused', 'immune', 'innocent', 'right', 'free']"
subject,"['exposed', 'sensitive', 'likely', 'dependent', 'secondary', 'vulnerable', 'directed', 'satellite', 'controlled', 'governed', 'open', 'ruled', 'under']","['guarded', 'protected', 'independent', 'unlikely', 'chief', 'primary', 'safe', 'superior', 'certain', 'sure', 'free', 'master']"
governed,"['directed', 'driven', 'led', 'administered', 'guided', 'overseen', 'conducted', 'mastered', 'commanded']",['free']
regulated,"['managed', 'organized', 'directed', 'set', 'ordered', 'adapted', 'governed', 'fixed', 'settled', 'ruled', 'monitored', 'coordinated', 'adjusted', 'arranged']","['upset', 'confused']"
managed,"['educated', 'handled', 'influenced', 'primed', 'urged', 'driven', 'taught', 'instructed', 'persuaded', 'coached', 'guided', 'counseled']","['wild', 'free']"
primed,"['ready', 'informed', 'fit', 'prepared', 'able']",[]
urged,"['favored', 'recommended', 'praised', 'backed', 'endorsed', 'approved', 'advanced', 'aided', 'promoted', 'boosted', 'adopted', 'pushed']","['discouraged', 'condemned', 'opposed', 'prohibited']"
damned,"['lost', 'bad', 'condemned', 'blasted', 'unhappy']","['favored', 'welcome', 'nice', 'good']"
wanted,"['needed', 'necessary', 'requested']","['satisfied', 'abandoned']"
tailed,"['rear', 'end', 'reverse', 'train', 'behind', 'tag', 'conclusion']","['beginning', 'start', 'front', 'head']"
rear,"['last', 'reverse', 'behind', 'tail', 'following', 'after']","['front', 'first', 'beginning']"
front,"['head', 'leading', 'forward', 'advanced', 'first', 'ahead']","['last', 'rear', 'back', 'ending', 'final', 'finishing']"
wished,"['longing', 'intention', 'prayer', 'request', 'choice', 'will', 'preference', 'ambition', 'hope', 'urge', 'hunger', 'want', 'pleasure', 'liking']",['hate']
longing,"['eager', 'anxious', 'hungry', 'pining']",['hating']
hungry,"['eager', 'empty']","['satisfied', 'stuffed', 'full']"
choice,"['prime', 'preferred', 'excellent', 'elect', 'prize', 'exclusive', 'fine', 'winner', 'valuable', 'elite', 'special', 'nice', 'popular', 'precious', 'rare', 'select', 'unusual']","['worst', 'bad', 'poor', 'common', 'ordinary', 'sad']"
prize,"['outstanding', 'prime', 'champion', 'top', 'choice', 'pick', 'winning', 'elite']","['worst', 'lower', 'poor']"
winning,"['successful', 'leading', 'champion']","['failing', 'losing']"
desperate,"['daring', 'dangerous', 'bold', 'violent', 'determined', 'wild', 'risky', 'shocking']","['peaceful', 'confident', 'content', 'satisfied', 'contented', 'afraid', 'shy', 'weak', 'quiet', 'calm', 'mild', 'moderate', 'secure']"
elite,"['exclusive', 'elect', 'top', 'pick', 'choice', 'super', 'selected', 'greatest']","['lower', 'worst', 'poor', 'bad', 'common', 'ordinary']"
greatest,"['huge', 'enormous', 'tremendous', 'big', 'terrible', 'high', 'strong', 'considerable', 'vast', 'extreme', 'fat', 'bull', 'decided', 'excessive', 'extended', 'extensive', 'long', 'numerous', 'towering']","['tiny', 'few', 'unknown', 'stupid', 'little', 'minute', 'small', 'low', 'soft', 'weak', 'mild', 'moderate', 'limited', 'thin', 'short', 'poor']"
capital,"['central', 'prime', 'major', 'dominant', 'leading', 'primary', 'chief', 'fundamental', 'basic', 'principal', 'first', 'controlling', 'important', 'outstanding', 'prominent', 'underlying', 'vital']","['lesser', 'minor', 'last', 'additional', 'extra', 'least', 'secondary', 'poor']"
crack,"['superior', 'expert', 'choice', 'capital', 'elite', 'best', 'able', 'excellent', 'skilled', 'talented']","['lower', 'minor', 'worst', 'poor', 'bad']"
best,"['perfect', 'finest', 'tough', 'outstanding', 'leading', 'terrific', 'first', 'prime', 'premium', 'champion', 'chief', 'capital', 'super', 'principal', 'highest', 'tops', 'choicest', 'greatest']","['last', 'worst', 'least', 'minor', 'extra', 'poor', 'low', 'poorest', 'secondary', 'fewest']"
premium,"['prime', 'superior', 'choice', 'select', 'selected']","['poor', 'low']"
maximum,"['top', 'outside', 'ultimate', 'best', 'most', 'largest', 'biggest', 'greatest']","['lowest', 'least', 'worst', 'minimum', 'smallest', 'low']"
most,"['better', 'greater', 'highest', 'largest', 'maximum', 'ultimate', 'biggest']",['least']
better,"['superior', 'improved', 'sophisticated', 'preferred', 'choice', 'prominent', 'greater', 'larger', 'exceeding', 'fitter', 'bigger', 'finer', 'more appropriate', 'more select', 'more suitable', 'more useful', 'more valuable']","['worse', 'smaller', 'sicker', 'littler', 'tinier']"
biggest,"['huge', 'enormous', 'full', 'tremendous', 'fat', 'substantial', 'massive', 'considerable', 'vast', 'crowded', 'extensive', 'packed', 'stuffed']","['tiny', 'adolescent', 'baby', 'little', 'minute', 'small', 'slight', 'thin', 'poor', 'infant', 'shy']"
baby,"['little', 'small', 'minute', 'tiny']","['enormous', 'giant', 'huge', 'large', 'big', 'important', 'tall']"
proud,"['great', 'honored', 'satisfied', 'glad', 'content', 'contented', 'fine', 'grand', 'imposing', 'impressive', 'rewarding', 'satisfying']","['unknown', 'sad', 'sorry', 'modest']"
glad,"['contented', 'pleased', 'willing', 'cheering', 'pleasing', 'gay', 'beaming', 'beautiful', 'bright', 'pleasant', 'up']","['upset', 'sad', 'unhappy']"
cheering,"['comforting', 'promising', 'bright']",['discouraging']
promising,"['talented', 'gifted', 'encouraging', 'bright', 'rising', 'able', 'favorable', 'happy', 'likely', 'lucky', 'assuring']",['unhappy']
gay,"['wild', 'forward', 'glad', 'confident', 'sunny']","['discouraged', 'upset', 'worried', 'sad', 'unhappy', 'depressed', 'plain']"
brave,"['daring', 'confident', 'strong', 'firm', 'game', 'forward']","['careful', 'retiring', 'afraid', 'shy', 'mild', 'weak']"
beaming,"['bright', 'brilliant', 'flashing']","['frowning', 'ugly', 'sad', 'unhappy']"
bigger,"['huge', 'enormous', 'full', 'tremendous', 'fat', 'substantial', 'massive', 'considerable', 'vast', 'crowded', 'extensive', 'packed', 'stuffed']","['tiny', 'adolescent', 'baby', 'little', 'minute', 'small', 'slight', 'thin', 'poor', 'infant', 'shy']"
longer,"['great', 'deep', 'high', 'tall', 'stretch', 'running', 'enduring', 'towering', 'sustained', 'distant', 'extensive', 'remote', 'expanded', 'stretching', 'stretched', 'continued']","['little', 'short', 'small', 'weak', 'soft', 'low']"
sustained,"['constant', 'continuous', 'backed', 'supported', 'continued']","['interrupted', 'ending', 'stopping']"
fitter,"['wise', 'capable', 'able', 'prepared', 'qualified', 'happy', 'right', 'becoming', 'due', 'fitting', 'correspondent', 'deserving', 'trained', 'equipped', 'ready', 'meet', 'adapted', 'correct', 'fitted', 'adequate', 'favorable', 'just', 'likely', 'proper']","['stupid', 'unable', 'wrong', 'poor', 'weak']"
deserving,"['fitting', 'due']",[]
adapted,"['fitting', 'becoming']",[]
fitted,"['qualified', 'equipped', 'adapted', 'suited', 'proper', 'suitable']","['lacking', 'wrong', 'needing']"
finer,"['beautiful', 'outstanding', 'elegant', 'subtle', 'expensive', 'superior', 'handsome', 'striking', 'attractive', 'lovely', 'smart', 'pleasant', 'great', 'rare', 'solid', 'accomplished', 'top', 'capital', 'choice', 'select', 'mean']","['stupid', 'usual', 'offensive', 'ugly', 'bad', 'ordinary', 'poor', 'regular', 'cheap', 'small', 'common', 'dark', 'rough', 'thick']"
handsome,"['beautiful', 'athletic', 'smooth', 'elegant', 'lovely', 'smart', 'becoming', 'fair', 'fine', 'impressive', 'sharp', 'strong']","['ugly', 'rough', 'wrinkled', 'poor', 'small']"
wrinkled,"['folded', 'lined']",[]
shorter,"['less', 'lower', 'reduced', 'briefer', 'diminished']","['higher', 'longer', 'taller']"
briefer,"['limited', 'little', 'small', 'sharp']","['enormous', 'huge', 'large', 'kind', 'enduring', 'big', 'important', 'long']"
short-term,"['limited', 'acting', 'brief', 'passing', 'short', 'summary', 'supply', 'shifting']",['permanent']
taller,"['great', 'big', 'soaring', 'towering', 'giant']","['tiny', 'little', 'short', 'small', 'low', 'reasonable']"
sicker,"['disordered', 'down', 'suffering', 'peaked', 'ill', 'mean', 'delicate', 'weak', 'declining']","['healthy', 'moral', 'content', 'pleased', 'satisfied', 'well', 'sound', 'strong', 'perfect', 'clean', 'gentle', 'nice', 'happy']"
bored,"['fatigued', 'tired']","['excited', 'interested']"
littler,"['slight', 'limited', 'infant', 'short', 'light', 'young', 'brief', 'toy', 'peanut', 'junior', 'minute', 'tiny']","['adequate', 'sufficient', 'large', 'huge', 'older', 'giant', 'enormous', 'massive', 'big', 'fat', 'long', 'tall', 'substantial', 'great', 'important', 'open']"
tinier,"['slight', 'little', 'minimum', 'minute', 'pocket']","['large', 'huge', 'giant', 'enormous', 'vast', 'important', 'significant', 'big', 'great']"
repairing,"['improvement', 'adjustment', 'rehabilitation', 'replacement', 'patch']","['breaking', 'damage', 'destruction', 'harm', 'hurt', 'injury']"
breaking,"['collapsing', 'splitting', 'cracking', 'tearing']","['enduring', 'strong']"
healthier,"['clean', 'fresh', 'healing', 'helpful', 'pure', 'stimulating', 'useful', 'aiding', 'sustaining']",['bad']
stimulating,"['inspiring', 'interesting', 'appealing', 'gripping', 'moving', 'stirring', 'challenging']","['discouraging', 'upsetting', 'boring']"
stronger,"['firm', 'heavy', 'secure', 'tough', 'capable', 'solid', 'big', 'able', 'steady', 'athletic', 'substantial', 'stable', 'active', 'enduring', 'fixed', 'reinforced', 'sound']","['fragile', 'vulnerable', 'unable', 'vague', 'pale', 'loose', 'soft', 'weak', 'yielding', 'moving', 'little', 'small', 'easy', 'delicate', 'broken', 'mild', 'moderate', 'low']"
handful,"['sprinkling', 'scattering', 'few', 'some']","['lot', 'mass']"
loud,"['heavy', 'ringing', 'big', 'powerful', 'strong', 'intense', 'deep', 'full', 'booming', 'crashing']","['little', 'small', 'weak', 'shy', 'quiet', 'silent', 'calm', 'moderate', 'low', 'mild', 'soft']"
ringing,"['booming', 'loud', 'full', 'rich', 'deep', 'beating', 'round', 'powerful', 'profound', 'echoing', 'enhanced']","['low', 'soft', 'weak']"
crashing,"['sheer', 'total', 'complete', 'plain', 'pure']",['uncertain']
worst,"['lowest', 'bad', 'least']",['best']
choicest,"['prime', 'preferred', 'excellent', 'elect', 'prize', 'exclusive', 'fine', 'winner', 'valuable', 'elite', 'special', 'nice', 'popular', 'precious', 'rare', 'select', 'unusual']","['worst', 'bad', 'poor', 'common', 'ordinary', 'sad']"
precious,"['beloved', 'dear', 'loved', 'pet', 'dearest', 'prized', 'treasured']","['cheap', 'common']"
dearest,"['pet', 'familiar', 'close', 'intimate', 'loved', 'precious', 'respected', 'prized', 'treasured']","['cool', 'common', 'cheap']"
poorest,"['low', 'suffering', 'reduced']","['wealthy', 'adequate', 'sufficient', 'lucky', 'rich', 'full', 'superior', 'strong', 'great', 'happy']"
fewest,"['minority', 'less', 'slight', 'lean', 'short', 'minute', 'scattering', 'minor', 'occasional', 'rare', 'scattered', 'seldom', 'some', 'thin']","['useful', 'large', 'many', 'much', 'important', 'major', 'significant', 'big', 'fat', 'tall', 'thick']"
noted,"['leading', 'recognized', 'well-known', 'distinguished', 'prominent', 'celebrated', 'star', 'name', 'popular', 'somebody']","['unknown', 'ordinary', 'common']"
advised,['considered'],[]
taught,"['directed', 'educated', 'informed', 'trained', 'learned', 'coached']",['stupid']
instructed,"['advised', 'informed', 'learned', 'educated', 'briefed']",['stupid']
master,"['skilled', 'experienced']","['minor', 'green', 'copy']"
bonded,['secured'],"['uncertain', 'free']"
executive,"['ruling', 'governing', 'controlling', 'managing', 'directing']",[]
immune,"['clear', 'safe', 'free', 'favored', 'licensed', 'protected', 'allowed']",['vulnerable']
criminal,"['illegal', 'heavy', 'wrong', 'bent', 'caught', 'dirty']","['authorized', 'ethical', 'legal', 'legitimate', 'moral', 'kind', 'proper', 'good', 'right', 'blessed', 'pure', 'correct']"
ethical,"['honest', 'proper', 'clean', 'correct', 'decent', 'fair', 'fitting', 'good', 'just', 'right', 'square', 'straight']",[]
cunning,"['knowing', 'smarts', 'smooth', 'deep', 'sharp', 'smart', 'subtle']","['stupid', 'kind', 'slow', 'rough', 'shy']"
seasoned,"['wise', 'accomplished', 'qualified', 'trained', 'practiced', 'tried', 'prepared', 'tested', 'instructed', 'expert', 'familiar', 'pro', 'professional', 'veteran', 'weathered']",['unable']
professional,"['experienced', 'licensed', 'efficient', 'qualified', 'expert', 'sharp', 'able', 'acknowledged', 'finished', 'known', 'learned', 'practiced']","['unable', 'stupid', 'green']"
dated,['old-fashioned'],"['current', 'modern', 'new']"
continuing,"['chronic', 'enduring', 'pursuing', 'permanent', 'persisting', 'progressing', 'maintaining', 'sustaining', 'advancing']",['temporary']
chronic,"['continuous', 'continuing', 'sustained', 'constant', 'confirmed', 'enduring', 'fixed', 'rooted', 'routine', 'settled', 'usual', 'persisting']","['temporary', 'interrupted', 'occasional', 'ceasing', 'ending', 'stopping']"
pursuing,['following'],[]
aware,"['wise', 'conscious', 'informed', 'alive', 'awake', 'familiar', 'knowing', 'sharp', 'grounded']",[]
mere,"['simple', 'sheer', 'bare', 'minor', 'pure', 'poor', 'entire', 'little', 'plain', 'common', 'small', 'complete', 'very']","['uncertain', 'enormous', 'huge', 'large', 'extraordinary', 'excellent', 'decorated', 'superior', 'great', 'big', 'important']"
animal,"['natural', 'wild', 'physical']","['gentle', 'mild']"
true,"['perfect', 'genuine', 'normal', 'accurate', 'honest', 'appropriate', 'legitimate', 'pure', 'proper', 'natural', 'correct', 'typical', 'right', 'straight', 'direct', 'fitting', 'regular', 'exact', 'actual', 'legal', 'precise', 'very']","['unusual', 'lying', 'unfair', 'changing', 'evil', 'wrong', 'false', 'affected', 'different', 'cheating']"
unfair,"['biased', 'illegal', 'wrong', 'cruel', 'bad', 'base', 'cheating', 'criminal', 'low', 'mean', 'partial']","['ethical', 'honest', 'moral', 'authorized', 'legal', 'appropriate', 'suitable', 'reasonable', 'fair', 'good', 'right', 'correct', 'decent', 'just']"
biased,[],['fair']
toxic,['deadly'],"['healthy', 'helpful', 'kind']"
fatal,"['inevitable', 'final', 'killing']","['healthy', 'assisting', 'helpful', 'blessed', 'vital']"
assisting,['assistant'],[]
literary,"['classical', 'formal', 'learned']",[]
nursed,"['assistant', 'therapist']","['ignore', 'block', 'cease', 'destroy', 'refuse', 'condemn', 'injure', 'hurt', 'stop', 'discourage']"
leveled,"['trim', 'constant', 'even', 'same', 'uniform', 'calm', 'stable', 'flat', 'rolled', 'equivalent', 'plane', 'exact', 'like', 'plain', 'steady', 'regular', 'common', 'straight', 'alike', 'comparable', 'consistent', 'continuous', 'identical', 'precise', 'leveled', 'trimmed']","['unfair', 'unlike', 'changing', 'variable', 'vertical', 'extraordinary', 'unusual', 'rough', 'different', 'broken', 'rare']"
rolled,"['curved', 'twisted', 'bowed', 'bent', 'wound', 'folded']","['straight', 'spread']"
evened,"['alike', 'square', 'constant', 'smooth', 'direct', 'right', 'balanced', 'same', 'stable', 'plane', 'level', 'straight', 'steady', 'equal', 'regular', 'consistent', 'continuous', 'surfaced', 'true']","['varying', 'interrupted', 'changing', 'unfair', 'unlike', 'variable', 'vertical', 'biased', 'broken', 'rough', 'different', 'troubled', 'partial']"
balanced,"['fair', 'uniform', 'equivalent', 'just', 'evened']","['biased', 'unfair', 'partial']"
level,"['trim', 'constant', 'even', 'same', 'uniform', 'calm', 'stable', 'flat', 'rolled', 'equivalent', 'plane', 'exact', 'like', 'plain', 'steady', 'regular', 'common', 'straight', 'alike', 'comparable', 'consistent', 'continuous', 'identical', 'precise', 'leveled', 'trimmed']","['unfair', 'unlike', 'changing', 'variable', 'vertical', 'extraordinary', 'unusual', 'rough', 'different', 'broken', 'rare']"
varying,"['changing', 'flexible', 'uncertain', 'shifting', 'differing']","['stable', 'fixed']"
drawn,"['peaked', 'tired', 'strained', 'worn', 'thin', 'stressed']","['fresh', 'relaxed']"
lay,"['secular', 'ordinary']",['professional']
secular,"['civil', 'material', 'lay']","['holy', 'spiritual', 'mental', 'religious']"
religious,"['spiritual', 'holy', 'moral', 'sacred', 'theological', 'divine', 'believing', 'pure']",['evil']
sacred,"['spiritual', 'divine', 'religious', 'pure']","['lay', 'vulnerable', 'open']"
theological,['divine'],[]
surface,"['outer', 'shallow', 'top', 'outside', 'covering', 'apparent']","['central', 'interior', 'middle', 'deep', 'core', 'inside']"
outer,"['alien', 'beyond', 'outside', 'over', 'remote', 'surface', 'without']","['central', 'middle', 'interior', 'inner']"
interior,"['internal', 'remote', 'intimate', 'domestic', 'private', 'secret', 'gut', 'home', 'inner', 'within']","['external', 'outer', 'public', 'business', 'open', 'revealed', 'outside']"
gut,"['interior', 'intimate', 'natural', 'basic', 'emotional', 'inner', 'internal']","['outside', 'material', 'physical']"
external,"['foreign', 'independent', 'over', 'surface', 'alien', 'out', 'apparent', 'outer', 'visible']","['relevant', 'national', 'central', 'interior', 'middle', 'internal', 'native', 'inside']"
out,"['away', 'outside', 'exhausted', 'dead', 'ended', 'finished', 'dated', 'impossible', 'cold', 'old-fashioned']","['existing', 'stored', 'interested', 'modern', 'in', 'possible', 'saved', 'warm', 'new', 'here']"
standing,"['existing', 'repeated', 'fixed', 'continuing', 'regular']","['variable', 'temporary']"
encouraged,"['inspired', 'supported', 'determined', 'confident', 'aided', 'cheered']",['discouraged']
blue,['royal'],"['gay', 'happy', 'clean', 'decent']"
beat,"['exhausted', 'fatigued']","['rested', 'fresh']"
rested,"['relaxed', 'recovered', 'awake', 'fresh', 'strengthened']","['asleep', 'fatigued', 'tired']"
recovered,"['returned', 'replaced', 'found', 'regained', 'retrieved']","['dropped', 'lost', 'missed', 'ill', 'sicker']"
missed,"['gone', 'lost', 'moved', 'forgotten', 'hidden', 'removed']","['existing', 'located', 'remembered', 'hated', 'found']"
ranked,"['rated', 'graded', 'organized', 'stacked', 'arranged', 'piled', 'grouped']",['disordered']
measured,"['consistent', 'uniform', 'regular']",[]
intended,"['proposed', 'promised', 'expected', 'calculated', 'planned', 'set', 'steady', 'advised', 'future', 'designed', 'contracted', 'meant', 'contemplated', 'pinned']",[]
begun,"['going', 'proceeding', 'initiated', 'working', 'happening']",[]
hazarded,"['risk', 'threat']","['safety', 'protection', 'reality', 'determination', 'fact', 'proof']"
chanced,"['casual', 'happy', 'lucky', 'odd']","['planned', 'understood', 'designed']"
weighed,"['scale', 'measure']",['ignore']
occupying,"['resting', 'covering', 'sitting', 'placed', 'controlling', 'holding', 'commanding', 'remaining', 'staying', 'possessing', 'obtaining', 'maintaining', 'posted', 'owning']","['gone', 'leaving', 'removing']"
sitting,[],['standing']
complaining,"['critical', 'protesting', 'accusing', 'regretting', 'charging']","['appreciating', 'enjoying', 'praising']"
objecting,"['body', 'substance', 'phenomenon', 'commodity', 'matter', 'item', 'something', 'article', 'bulk', 'entity', 'volume', 'mass', 'reality', 'fact']","['nothing', 'subject']"
intent,"['decided', 'firm', 'set', 'bent', 'watching', 'steady', 'bound', 'deep', 'attending', 'eager', 'absorbed', 'committed', 'concentrated', 'engaged', 'fixed', 'intense', 'occupied', 'settled', 'resolved', 'concentrating', 'minding']","['flexible', 'soft', 'weak', 'distracted']"
watching,[],[]
punished,"['dismissed', 'executed', 'corrected', 'whipped', 'sentenced', 'grounded', 'switched', 'lectured']","['cleared', 'released']"
stimulated,"['accelerated', 'excited', 'heated']",['calm']
left,"['near', 'port']",['right']
receiving,"['gathering', 'getting', 'drawing', 'making', 'collecting', 'acquiring', 'inheriting', 'accepting', 'earning']","['awarding', 'giving']"
inheriting,"['derive', 'receive', 'acquire', 'obtain', 'succeed', 'get']","['fail', 'lose']"
altered,"['corrected', 'modified', 'qualified', 'converted', 'reformed', 'doctored', 'fixed', 'adapted', 'fitted', 'cooked', 'updated', 'transformed', 'adjusted', 'turned']","['held', 'sustained', 'continued', 'kept', 'maintained', 'preserved', 'retained']"
modified,"['altered', 'converted', 'fitted', 'adjusted']",[]
rebuilt,"['built', 'fixed', 'repaired', 'restored']",['broken']
righted,"['good', 'legal', 'honest', 'appropriate', 'legitimate', 'proper', 'suitable', 'deserved', 'due', 'merited', 'fitting', 'moral', 'ethical', 'true']","['evil', 'illegal', 'unfair', 'false', 'wrong', 'mad', 'left']"
torn,"['divided', 'damaged', 'broken', 'cracked', 'burst', 'split', 'rent', 'ripped', 'sliced', 'snapped']","['OK', 'working', 'fixed', 'healed', 'perfect', 'certain', 'decided', 'sure']"
financed,"['banking', 'economics', 'investment', 'business', 'money', 'accounts']","['refuse', 'reject', 'discourage', 'hurt', 'take']"
city,"['civic', 'civil', 'municipal', 'urban']",['rural']
municipal,"['city', 'civic', 'civil', 'community', 'corporate', 'domestic', 'home', 'incorporated', 'internal', 'local', 'metropolitan', 'native', 'public', 'town', 'urban']","['country', 'suburban']"
corporate,"['joint', 'collective', 'combined', 'common', 'incorporated', 'shared', 'united', 'associated', 'pooled']",['separate']
joint,"['collective', 'cooperative', 'public', 'united', 'joined', 'common', 'mutual']","['divided', 'separated', 'separate', 'single']"
metropolitan,"['urban', 'city', 'modern', 'municipal']","['country', 'rural']"
country,[],"['metropolitan', 'city', 'urban']"
rural,"['agricultural', 'farm', 'natural', 'ranch', 'simple']","['metropolitan', 'urban', 'city', 'suburban']"
suburban,"['rural', 'country']","['metropolitan', 'urban']"
published,"['reported', 'issued', 'presented', 'broadcast', 'released', 'printed', 'voiced', 'announced', 'proclaimed']",[]
blanket,"['sweeping', 'absolute', 'overall', 'powerful']",['limited']
worldwide,"['international', 'extensive', 'global', 'comprehensive', 'common', 'universal']","['local', 'limited']"
magnetic,"['appealing', 'charming', 'entrancing', 'fascinating', 'inviting', 'arresting', 'pulling']",[]
pretty,"['beautiful', 'cute', 'charming', 'pleasant', 'elegant', 'neat', 'lovely', 'handsome', 'appealing', 'delicate', 'fair', 'fine', 'nice', 'picture', 'pleasing']","['offensive', 'ugly']"
treasuring,"['wealth', 'gold', 'riches', 'cash', 'valuable', 'money', 'reserve', 'prize', 'fortune', 'funds', 'capital', 'find', 'store']","['poverty', 'debt']"
reserving,"['plant', 'wealth', 'fund', 'inventory', 'capital', 'stock', 'resources', 'assets', 'provisions', 'drop', 'insurance', 'store']","['debt', 'nothing', 'warmth']"
included,"['numbered', 'involved', 'incorporated', 'covered', 'entered', 'inserted', 'combined', 'constituted', 'admitted', 'comprised', 'counted']","['rejected', 'excluded']"
numbered,"['indicated', 'marked', 'specified', 'included', 'fixed', 'checked', 'contained', 'totalled', 'counted', 'told']",[]
rejected,"['dropped', 'abandoned', 'refused', 'deserted', 'returned', 'denied']",[]
opposite,"['reversed', 'independent', 'reverse', 'separate', 'counter', 'facing', 'hostile', 'different', 'diverse', 'opposed', 'differing', 'contrasted', 'fronting']","['agreeing', 'similar', 'like']"
reversed,"['opposite', 'turned']","['ordered', 'established']"
deeper,"['wide', 'rooted', 'profound', 'far', 'broad', 'buried', 'low', 'below', 'beneath', 'distant', 'sunk']","['restricted', 'pale', 'narrow', 'shallow', 'open', 'light', 'quiet', 'soft']"
heavier,"['huge', 'excessive', 'big', 'fat', 'large', 'substantial', 'massive', 'considerable', 'built', 'loaded', 'pregnant']","['tiny', 'small', 'thin', 'little', 'easy', 'slight', 'poor', 'light', 'gay', 'happy', 'moving']"
wider,"['full', 'broad', 'loose', 'deep', 'large', 'extensive', 'vast', 'advanced', 'comprehensive', 'general', 'liberal', 'open', 'progressive', 'radical', 'sweeping', 'universal', 'expanded']","['restricted', 'tiny', 'empty', 'narrow', 'small', 'little', 'limited', 'straight']"
fewer,"['minority', 'less', 'slight', 'lean', 'short', 'minute', 'scattering', 'minor', 'occasional', 'rare', 'scattered', 'seldom', 'some', 'thin']","['useful', 'large', 'many', 'much', 'important', 'major', 'significant', 'big', 'fat', 'tall', 'thick']"
tragic,"['sad', 'deadly', 'fatal', 'painful', 'awful', 'terrible', 'shocking', 'unhappy', 'crushing']","['lucky', 'healthy', 'pleasant', 'pleasing', 'wonderful', 'comforting', 'excellent', 'calming', 'encouraging', 'successful', 'happy', 'great', 'blessed', 'good', 'nice']"
calming,[],['upsetting']
affecting,"['touching', 'stirring']",[]
bordering,"['neighboring', 'near', 'touching', 'edging', 'skirting']","['far', 'separate', 'apart']"
practically,"['essentially', 'approximately', 'virtually', 'nearly', 'basically', 'much', 'about', 'most']",['far']
seeing,"['regarding', 'noticing', 'perceiving', 'awake', 'aware', 'conscious', 'viewing', 'looking', 'witnessing', 'surveying']",['asleep']
observing,['aware'],['stupid']
